Date,Symbol,Series,Open,High,Low,Close,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
23/02/2004,RELIANCE,EQ,589,594,560.1,565.35,9391243,5.41053E+14,,3651377,0.3888
24/02/2004,RELIANCE,EQ,555.5,568.6,550,565.75,12554104,7.02533E+14,,3724184,0.2967
25/02/2004,RELIANCE,EQ,570,570,552.25,555.2,6962652,3.90477E+14,,1250041,0.1795
26/02/2004,RELIANCE,EQ,554,564.3,539,542.3,10483179,5.78551E+14,,2716140,0.2591
27/02/2004,RELIANCE,EQ,545.55,556.6,545,554.7,8262031,4.55011E+14,,1564818,0.1894
01/03/2004,RELIANCE,EQ,569,569.45,556.3,567.3,6235209,3.50255E+14,,2544409,0.4081
03/03/2004,RELIANCE,EQ,569.15,583.9,567.1,580.85,8516733,4.91603E+14,,2489025,0.2923
04/03/2004,RELIANCE,EQ,578,584,570.6,573.65,4249944,2.45007E+14,,346456,0.0815
05/03/2004,RELIANCE,EQ,571,587.5,571,586.15,4136933,2.41074E+14,,440886,0.1066
08/03/2004,RELIANCE,EQ,588,599,587.4,595.75,4857721,2.8769E+14,,1412652,0.2908
09/03/2004,RELIANCE,EQ,600,600,578.5,584.3,4567818,2.67053E+14,,640145,0.1401
10/03/2004,RELIANCE,EQ,581,582,570.2,573.7,4071022,2.34674E+14,,719027,0.1766
11/03/2004,RELIANCE,EQ,572,578,563,565.85,5579304,3.1865E+14,,1045008,0.1873
12/03/2004,RELIANCE,EQ,564.5,569,555.05,562.6,5410580,3.03277E+14,,1152831,0.2131
15/03/2004,RELIANCE,EQ,567.05,569.8,540,545.05,6624011,3.65562E+14,,1332136,0.2011
16/03/2004,RELIANCE,EQ,540,554.85,535.5,541.85,8512242,4.64421E+14,,1509080,0.1773
17/03/2004,RELIANCE,EQ,545,552,535.15,540.4,8011049,4.361E+14,,1848512,0.2307
18/03/2004,RELIANCE,EQ,542,544.1,515.35,519.1,11184854,5.92047E+14,,2334610,0.2087
19/03/2004,RELIANCE,EQ,517,528.55,517,523.25,7836465,4.1017E+14,,1233823,0.1574
22/03/2004,RELIANCE,EQ,509.1,522.95,505.55,507.7,6435462,3.30728E+14,,1362543,0.2117
23/03/2004,RELIANCE,EQ,509,517.5,505.25,511.75,6639679,3.40313E+14,,1396913,0.2104
24/03/2004,RELIANCE,EQ,512,515.25,505.8,512.3,7085995,3.62321E+14,,1935305,0.2731
25/03/2004,RELIANCE,EQ,513.05,520.3,510.3,514.05,9611709,4.96495E+14,,2978973,0.3099
26/03/2004,RELIANCE,EQ,517.95,530.3,517.95,525.7,7547350,3.96562E+14,,2737457,0.3627
29/03/2004,RELIANCE,EQ,526.15,534.6,525.1,528.8,5709932,3.02198E+14,,1393093,0.244
30/03/2004,RELIANCE,EQ,530.1,536.7,526.05,527.15,6364178,3.38584E+14,,1632765,0.2566
31/03/2004,RELIANCE,EQ,527.05,540,524.75,538.05,5489134,2.93055E+14,,1192753,0.2173
01/04/2004,RELIANCE,EQ,539,557.7,539,555.85,7744133,4.25192E+14,,2010552,0.2596
02/04/2004,RELIANCE,EQ,650,650,555.75,565.8,7124312,4.00599E+14,,1679025,0.2357
05/04/2004,RELIANCE,EQ,567,581.35,567,575.1,6476492,3.73203E+14,,1872120,0.2891
06/04/2004,RELIANCE,EQ,576,582.4,564.65,575.4,7142520,4.08954E+14,,1793651,0.2511
07/04/2004,RELIANCE,EQ,579.85,580.9,570,574,4157678,2.38806E+14,,442493,0.1064
08/04/2004,RELIANCE,EQ,570,579.7,565.5,572.95,4639042,2.65872E+14,,706797,0.1524
12/04/2004,RELIANCE,EQ,575.5,575.5,558.7,561.75,3830941,2.17154E+14,,800811,0.209
13/04/2004,RELIANCE,EQ,564,575.9,555.4,573.3,4054932,2.29381E+14,,695827,0.1716
15/04/2004,RELIANCE,EQ,578.9,581.2,562.6,565.35,5951581,3.38711E+14,,1849480,0.3108
16/04/2004,RELIANCE,EQ,566,572.75,563.7,566.15,3029685,1.72226E+14,,468155,0.1545
17/04/2004,RELIANCE,EQ,566,567.9,563.55,564.85,814748,4.60831E+13,,80829,0.0992
19/04/2004,RELIANCE,EQ,563.5,569.4,550.6,552.6,4074759,2.27384E+14,,1152080,0.2827
20/04/2004,RELIANCE,EQ,554.5,554.5,548,552.35,3512801,1.93604E+14,,443002,0.1261
21/04/2004,RELIANCE,EQ,550.05,569.45,550,568.35,4741384,2.6664E+14,,901296,0.1901
22/04/2004,RELIANCE,EQ,568,573.8,563.5,568.75,3237809,1.84178E+14,,413671,0.1278
23/04/2004,RELIANCE,EQ,568,574.8,565.15,567.3,3588442,2.04721E+14,,676991,0.1887
27/04/2004,RELIANCE,EQ,560,560,537.35,539.45,6683172,3.62823E+14,,1741257,0.2605
